Round,AGI,KAGI
1,57,29
2,58,44
3,57,41
4,60,42
5,60,55
6,51,36
7,50,38
8,40,28
9,58,39
10,56,45
11,48,40
12,54,37
13,42,54
14,42,44
15,44,40
16,51,47
17,57,54
18,44,44
19,44,48
20,38,41
21,62,51
22,50,48
23,52,47
24,44,50
25,0,40
26,50,34
27,52,33
28,38,53
29,56,56
30,54,48
31,55,88
32,41,38
33,60,46
34,53,38
1,53,54
2,55,49
3,52,45
4,50,42
5,53,37
6,53,34
7,49,37
8,55,56
9,59,37
10,56,49
11,61,62
13,62,57
14,74,70
15,59,41
16,68,45
17,52,48
18,42,35
19,48,49
20,72,63
21,48,42
12,56,47
22,59,49
23,48,43
24,63,37
25,49,46
26,48,32
27,55,47
28,60,40
29,52,48
30,59,55
31,51,50
32,61,52
33,59,46
34,56,47
1,57,62
2,49,30
3,55,44
4,68,53
5,34,30
6,73,59
7,60,57
8,54,41
9,62,56
10,56,55
11,56,47
12,66,51
13,57,46
14,65,41
15,70,48
16,63,47
17,69,48
18,58,58
19,69,55
20,65,51
21,57,45
22,50,46
23,58,48
24,64,42
25,64,53
26,62,46
27,51,48
28,53,35
29,44,48
30,85,62
31,49,50
32,69,66
33,71,48
34,65,53
35,55,53
36,65,35
37,60,60
38,59,39
39,52,45
40,50,39
41,64,46
42,67,57
1,57,60
2,57,52
3,50,45
4,61,35
5,74,40
6,56,58
7,61,33
8,69,61
9,61,51
10,51,40
11,47,53
12,74,62
13,58,47
14,70,57
15,61,52
16,44,44
17,73,50
18,46,49
19,51,42
20,66,49
21,68,50
22,70,49
23,60,44
24,68,59
25,64,40
26,66,54
27,54,44
28,55,50
29,61,50
30,66,67
31,55,37
32,50,43
33,66,53
34,0,32
35,67,50
36,30,34
37,70,56
38,62,39
39,52,47
40,56,42
41,48,25
