1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
2.28,3.6,3.14,3.20,3.27,4.3,4.11,4.17,4.21,4.25,5.1,5.5,5.8,5.15,5.22,5.30,6.5,6.13,6.19,6.26,7.3,7.11,7.18,8.9,8.14,8.22,8.28,9.4,9.11,9.18,9.25,10.2,10.9,10.16,10.24,10.30,11.3,11.7,11.13,11.21,11.28,12.5
(日),(土),(日),(土),(土),(土),(日),(土),(水),(日),(土),(水),(土),(土),(土),(日),(土),(日),(土),(土),(土),(日),(日),(月),(土),(日),(土),(土),(土),(土),(土),(土),(土),(土),(日),(土),(水),(日),(土),(日),(日),(日)
磐田,山口,群馬,長崎,千葉,大宮,水戸,東京Ｖ,町田,甲府,相模原,京都,愛媛,栃木,山形,新潟,秋田,北九州,岡山,松本,金沢,相模原,大宮,北九州,水戸,山形,秋田,長崎,京都,群馬,磐田,岡山,甲府,愛媛,松本,町田,山口,金沢,千葉,東京Ｖ,新潟,栃木
1-0,2-1,2-0,3-1,2-1,0-0,2-0,2-0,0-3,1-0,5-1,0-0,1-1,4-2,0-2,1-2,1-1,3-0,0-3,4-0,2-1,0-1,2-2,2-1,0-1,2-2,2-1,1-3,1-2,0-1,0-2,1-1,0-1,0-1,2-1,0-0,0-2,2-1,2-2,1-1,1-1,2-1
H,H,A,H,A,H,A,H,A,H,A,H,A,H,H,A,A,H,A,H,A,H,A,A,H,A,H,A,A,H,A,H,A,H,A,H,A,H,H,A,H,A
タピスタ,タピスタ,正田スタ,タピスタ,フクアリ,タピスタ,Ｋｓスタ,タピスタ,Ｇスタ,タピスタ,ギオンス,タピスタ,ニンスタ,タピスタ,タピスタ,デンカＳ,ソユスタ,タピスタ,Ｃスタ,タピスタ,石川西部,タピスタ,ＮＡＣＫ,ミクスタ,タピスタ,ＮＤスタ,タピスタ,トラスタ,サンガＳ,タピスタ,ヤマハ,タピスタ,ＪＩＴス,タピスタ,サンアル,タピスタ,みらスタ,タピスタ,タピスタ,味スタ,タピスタ,カンセキ
"3,871","1,086","2,258","1,917","4,169","2,749","2,401","2,308","1,432","2,333","1,608","2,437","1,317","2,188","1,627","14,759","2,030",0,"3,106",0,"2,512",0,"4,567","2,577",0,"4,776",0,"3,679","4,405",559,"4,977","1,815","4,419","1,782","6,728","2,313","3,512","1,934","1,701","4,361","3,361","5,676"
曇時々雨,曇のち雨,晴,曇,晴,曇,晴,晴,晴,晴,曇のち雷雨時々晴,雨,曇,晴,雨,晴,晴,雨一時曇,晴,晴,曇,雨のち晴,晴,曇,晴,曇時々雨,晴,晴,晴,晴,晴,晴,晴,晴,晴,晴,晴時々曇,晴,雨,曇,曇,晴
39,52,54,49,45,54,47,69,40,47,49,51,51,43,62,52,52,56,56,49,47,60,56,63,42,60,52,54,35,55,42,41,36,52,47,45,40,47,45,39,49,29
26,56,39,42,43,55,55,65,57,44,58,36,50,47,66,41,31,46,51,48,39,87,51,45,46,40,49,47,32,53,32,44,42,62,50,43,60,47,36,28,55,32
6.3%,13.5%,10.6%,11.0%,13.4%,9.3%,15.7%,16.8%,7.3%,6.6%,13.8%,9.6%,9.5%,14.8%,19.6%,7.2%,6.7%,16.4%,14.7%,15.7%,8.1%,11.8%,14.2%,11.9%,7.1%,10.0%,11.2%,9.6%,3.3%,19.1%,5.1%,6.1%,5.8%,13.5%,11.5%,5.7%,9.9%,9.2%,10.9%,8.7%,6.9%,7.9%
7,15,13,13,13,9,17,19,8,8,16,11,10,17,21,7,9,18,17,16,10,10,16,13,8,12,12,11,4,21,6,7,7,14,14,7,12,10,12,9,7,10
14.3%,13.3%,15.4%,23.1%,15.4%,0.0%,11.8%,10.5%,0.0%,12.5%,25.0%,0.0%,10.0%,23.5%,0.0%,14.3%,11.1%,16.7%,0.0%,25.0%,20.0%,0.0%,12.5%,15.4%,0.0%,16.7%,16.7%,9.1%,25.0%,0.0%,0.0%,14.3%,0.0%,0.0%,14.3%,0.0%,0.0%,20.0%,16.7%,11.1%,14.3%,20.0%
38.6%,48.5%,53.4%,45.4%,58.4%,49.4%,44.9%,51.7%,55.1%,47.7%,55.7%,50.5%,49.3%,73.9%,57.2%,44.5%,56.9%,47.1%,58.1%,56.0%,48.2%,55.5%,48.3%,48.0%,51.2%,55.5%,68.2%,54.7%,39.4%,68.5%,54.1%,55.6%,51.1%,63.7%,61.0%,51.8%,55.0%,61.9%,44.3%,40.1%,37.8%,65.5%
7.52,17.45,12.16,13.37,19.66,18.06,13.48,29.68,21.50,14.79,22.65,13.55,18.41,21.95,27.65,15.74,14.31,16.70,26.58,25.52,13.72,24.35,15.90,19.71,15.58,23.49,22.11,19.39,8.81,25.81,20.87,15.75,15.34,26.96,17.41,13.27,17.47,20.07,13.29,9.87,8.83,15.12
6.46,14.97,10.97,12.18,16.56,15.56,10.60,21.53,19.10,12.64,18.53,11.61,15.07,20.17,22.55,14.12,12.98,14.43,21.42,21.39,11.48,22.03,12.77,17.06,13.84,22.66,19.38,18.31,7.27,22.45,19.58,13.13,13.33,22.88,13.76,11.85,15.39,18.63,10.42,8.87,8.70,13.05
70.21,78.44,74.67,82.89,59.94,76.19,64.16,79.79,83.85,74.53,79.67,67.08,67.57,53.67,69.60,58.89,71.64,88.42,87.99,105.15,83.89,65.56,57.50,56.83,63.78,84.83,49.11,91.53,79.65,71.68,70.63,77.72,84.22,75.14,79.48,71.45,94.86,64.78,61.45,81.09,71.80,75.27
26.66,13.10,19.48,17.40,14.01,11.86,17.68,9.00,10.87,15.54,13.52,18.71,12.26,11.89,7.60,14.37,14.38,14.47,12.94,14.34,21.48,7.08,15.64,13.45,15.56,12.09,9.28,13.37,24.92,8.24,15.87,11.54,15.73,6.00,12.81,16.42,12.17,9.28,18.75,24.54,11.25,19.01
池田,"阿部,田中","阿部,赤嶺","池田x2,沼田","阿部,清水",,"清水,清武","田中,富所",,池田,"清武x2,池田,茂木,OG",,清武,"清水,上里,茂木,李栄直",,池田,阿部,"風間矢x2,清水",,"清武x3,風間矢","上里,中川",,"上原慎,赤嶺","武田,清水",,"武田,上原慎","阿部,福井",清水,阿部,,,富所,,,"金井,風間希",,,"風間矢,風間希","清武,金井",風間矢,茂木,"清武,赤嶺"
樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,樋口　靖洋,喜名　哲裕,喜名　哲裕,喜名　哲裕,喜名　哲裕,喜名　哲裕,喜名　哲裕,喜名　哲裕,喜名　哲裕
